index,axis-0,axis-1,axis-2
0.0,30.0,135.37014061427996,40.92843027592889
1.0,30.0,183.53541288683903,50.37260130976399
2.0,30.0,221.94170842443512,79.33472581352498
3.0,30.0,241.14485619323318,131.90727790187373
4.0,30.0,200.84972644887006,172.5172133473647
5.0,30.0,157.40653969322855,110.50049022518085
6.0,30.0,143.55508884360373,181.01696727781632
7.0,30.0,147.33275725713776,238.94121628533833
8.0,30.0,218.4788457120289,248.38538731917345
9.0,30.0,96.96384507668385,251.5334443304518
10.0,30.0,50.05779560863616,227.29340534360836
11.0,30.0,43.13207018382375,181.01696727781632
12.0,30.0,12.910722875551404,145.1291173492429
13.0,30.0,29.910230736454597,81.85317142254767
14.0,30.0,13.540334277807077,21.095671104875173
15.0,30.0,74.61264029660744,106.40801611051897
16.0,30.0,96.64903937555601,155.20289978533367
